hostname,os,scope,type,ip,nat,datastore
MERMENTAU,Red Hat Enterprise 7.2,HUO,V,10.0.32.159,15.1.70.61,GRABELS G2
MERSEY,Red Hat Enterprise 7.4,HUO,V,10.0.32.158,15.1.70.157,GRABELS G2
MOOSE,Red Hat Enterprise 7.1,UO,V,10.1.32.225,15.1.53.201,GRABELS
MOOSE-PRA,Red Hat Enterprise 7.1,UO,V,10.1.32.227,15.1.53.77,0
MORAVA,Windows 2012 R2 x64 STD,UO,P,10.1.32.7,15.1.70.197,B49A08D09U09
MORGES,Red Hat Enterprise 7,UO,V,10.0.32.113,15.1.70.30,MOP B4
MOROS,Red Hat Enterprise 5.11,HUO,V,10.2.32.116,,MOP B4
MYAKKA,Red Hat Enterprise 7.1,UO,V,10.1.32.226,15.1.53.104,GRABELS
MYAKKA-PRA,Red Hat Enterprise 7.1,UO,V,10.1.32.228,15.1.53.106,0
NAJERILLA,Red Hat Enterprise 7,UO,V,10.0.32.238 / 10.0.32.239,15.1.70.203,GRABELS G2
NAMSEN,Windows 2008 R2 STD,HUO,P,10.4.32.58,,EUREKA
NAVIZENCE,Red Hat Enterprise 7,UO,V,10.1.32.147,15.1.70.143,GRABELS G2
NEISSE,Red Hat Enterprise 6.8,UO,P,10.0.32.110,15.1.70.191,G11A11D09U12
NELSON,Red Hat Enterprise 7.4 ,HUO,V,10.1.32.171,15.1.70.121,MOP B4
NERVION,Windows 2008 x64 STD,HUO,V,10.2.32.161,,GRABELS G2
OFANTO,Windows 2008 R2 x64 STD,UO => HUO,P,10.1.32.184,15.1.53.102,B49A07D07U39
OGLIO,Windows 2012 R2 x64 STD,UO,V,10.1.32.138,15.1.70.240,GRABELS G2
OKHOTA,Red Hat Enterprise 6.8,HUO,V,10.2.32.84,,MOP B4
OLEKMA,Red Hat Enterprise 6.8,UO,V,10.1.32.80,15.1.70.8,MOP B4
OLENIOK,Red Hat Enterprise 6.8,UO,V,10.1.32.81,15.1.70.176,GRABELS G2
OMOLON,Windows 2008 R2 x64 STD,UO,V,10.3.32.30,15.1.53.21,EUREKA
ONEGA,Red Hat Enterprise 6.8,HUO,V,10.2.32.85,,MOP B4
ORANGE,Red Hat Enterprise 6.8,HUO,V,10.2.32.86,15.1.70.233,MOP B4
ORONTE,Red Hat Enterprise 6.9,UO,V,10.1.32.82,15.1.70.9,MOP B4
OSLAWA,Windows 2008 R2 x64 STD,UO,V,10.1.32.180,15.1.70.20,MOP B4
OSTRICONI,Red Hat Enterprise 5.11,UO,V,10.1.32.15,15.1.70.144,MOP B4
OUARGHA,Red Hat Enterprise 5.11,UO,P,10.1.32.142 / 10.1.32.143 / 10.1.32.217,,B49A07D07U35
OURIKA,Windows 2012 R2 x64 STD,UO,V,10.1.32.208,15.1.70.170,GRABELS G2
OYAPOCK,Red Hat Enterprise 5.11,HUO,V,10.2.32.46,15.1.53.189,MOP B4
PACTOLE,Windows 2012 R2 x64 STD,HUO,V,10.0.32.205,15.1.53.122,MOP B4
PADMA,Red Hat Enterprise 7.4,UO,V,10.0.32.15,15.1.53.197,GRABELS G2
PANARO,Red Hat Enterprise 7,HUO,V,10.2.32.181,,GRABELS G2
PANOUILLE,Red Hat Enterprise 7.4,UO,V,10.1.32.95,15.1.53.234,MOP B4
PANZARA,Red Hat Enterprise 7.4,UO,V,10.1.32.156,15.1.53.38,MOP B4
PARBATI,Red Hat Enterprise 7.4,UO,V,192.168.10.12,,MOP B4
PARSETA,Windows 2008 R2 x64 STD,HUO,V,10.1.32.39,15.1.53.79,MOP B4
PASITHOE,Red Hat Enterprise 5.11,UO,V,192.168.21.18,15.1.70.151,GRABELS G2
PATALGANGA,Red Hat Enterprise 7.4,UO,V,10.1.32.157,15.1.70.87,MOP B4
PEGNITZ,Red Hat Enterprise 6.7,UO,V,10.1.32.161,15.1.53.56,GRABELS G2
PERIYAR,Red Hat Enterprise 7.3,UO,V,10.1.32.158,15.1.70.86,MOP B4
PILICA,Windows 2008 R2 x64 STD,HUO,V,10.1.32.111,,GRABELS G2
PINARUS,Red Hat Enterprise 7,UO,V,10.1.32.220,15.1.53.115,GRABELS G2
PLAINE,Red Hat Enterprise 7.4,UO,V,10.1.32.96,15.1.53.248,MOP B4
POLAT,Windows 2012 R2 x64 STD,HUO,V,10.2.32.21,15.1.53.123,GRABELS G2
PORSUK,Red Hat Enterprise 7,UO,V,10.1.32.221,15.1.53.116,GRABELS G2
POSCHIAVINO,Red Hat Enterprise 5.11,HUO,V,10.2.32.12,15.1.70.107,GRABELS G2
POTOMAC,Red Hat Enterprise 6.9,UO,V,10.1.32.160,15.1.53.18,MOP B4
PRAVARA,Red Hat Enterprise 7.4,UO,V,10.1.32.159,15.1.70.245,MOP B4
PR-BSI-01,Red Hat Enterprise 7.2,UO,V,10.0.32.22,15.1.70.104,MOP B4
PR-HOSTVM-01,PHOTON OS 1.0,UO,V,10.0.32.184 ,,MOP B4
PR-PSC-01,PHOTON OS 1.0,UO,V,10.0.32.185,15.1.53.41,
